allocator_type,benchmark_type,num_allocations,time_ms
system,single_size,500000,29
custom,single_size,500000,20
system,single_size,600000,34
custom,single_size,600000,24
system,single_size,700000,39
custom,single_size,700000,27
system,single_size,800000,45
custom,single_size,800000,30
system,single_size,900000,50
custom,single_size,900000,35
system,single_size,1000000,55
custom,single_size,1000000,38
system,single_size,1100000,62
custom,single_size,1100000,43
system,single_size,1200000,66
custom,single_size,1200000,47
system,single_size,1300000,73
custom,single_size,1300000,51
system,single_size,1400000,78
custom,single_size,1400000,55
system,single_size,1500000,83
custom,single_size,1500000,62
system,single_size,1600000,90
custom,single_size,1600000,65
system,single_size,1700000,94
custom,single_size,1700000,68
system,single_size,1800000,100
custom,single_size,1800000,72
system,single_size,1900000,108
custom,single_size,1900000,78
system,single_size,2000000,111
custom,single_size,2000000,80
system,single_size,2100000,120
custom,single_size,2100000,82
system,single_size,2200000,122
custom,single_size,2200000,90
system,single_size,2300000,128
custom,single_size,2300000,89
system,single_size,2400000,134
custom,single_size,2400000,94
system,single_size,2500000,141
custom,single_size,2500000,105
system,single_size,2600000,146
custom,single_size,2600000,104
system,single_size,2700000,150
custom,single_size,2700000,107
system,single_size,2800000,157
custom,single_size,2800000,114
system,single_size,2900000,162
custom,single_size,2900000,112
system,single_size,3000000,171
custom,single_size,3000000,125
system,single_size,3100000,182
custom,single_size,3100000,146
system,single_size,3200000,178
custom,single_size,3200000,126
system,single_size,3300000,184
custom,single_size,3300000,131
system,single_size,3400000,190
custom,single_size,3400000,135
system,single_size,3500000,198
custom,single_size,3500000,147
system,single_size,3600000,204
custom,single_size,3600000,148
system,single_size,3700000,207
custom,single_size,3700000,149
system,single_size,3800000,215
custom,single_size,3800000,151
system,single_size,3900000,218
custom,single_size,3900000,153
system,single_size,4000000,223
custom,single_size,4000000,158
system,single_size,4100000,234
custom,single_size,4100000,161
system,single_size,4200000,235
custom,single_size,4200000,161
system,single_size,4300000,242
custom,single_size,4300000,170
system,single_size,4400000,249
custom,single_size,4400000,177
system,single_size,4500000,258
custom,single_size,4500000,179
system,single_size,4600000,260
custom,single_size,4600000,184
system,single_size,4700000,270
custom,single_size,4700000,193
system,single_size,4800000,271
custom,single_size,4800000,198
system,single_size,4900000,285
custom,single_size,4900000,200
