allocator_type,benchmark_type,num_allocations,throughput_M_ops_per_sec
custom,multi_thread,500000,13.986
system,multi_thread,500000,34.4828
custom,multi_thread,600000,28.5714
system,multi_thread,600000,25
custom,multi_thread,700000,15.0134
system,multi_thread,700000,73.6842
custom,multi_thread,800000,18.0791
system,multi_thread,800000,23.0216
custom,multi_thread,900000,49.6552
system,multi_thread,900000,24.1611
custom,multi_thread,1000000,22.0386
system,multi_thread,1000000,27.7778
custom,multi_thread,1100000,22.3919
system,multi_thread,1100000,19.3407
custom,multi_thread,1200000,16.6667
system,multi_thread,1200000,24.1814
custom,multi_thread,1300000,8.63071
system,multi_thread,1300000,11.2676
custom,multi_thread,1400000,32.9412
system,multi_thread,1400000,35.2201
custom,multi_thread,1500000,29.6296
system,multi_thread,1500000,22.3881
custom,multi_thread,1600000,19.076
system,multi_thread,1600000,46.3768
custom,multi_thread,1700000,16.4848
system,multi_thread,1700000,19.1819
custom,multi_thread,1800000,13.6622
system,multi_thread,1800000,22.188
custom,multi_thread,1900000,10.1198
system,multi_thread,1900000,14.7287
